Event,Description,Date,Link,Source,Week Number
B. Dylan Hollis at Powell’s Books at Cedar Hills Crossing,6pm,07/27/2023,https://www.powells.com/book/baking-yesteryear-9780744080049/2-3,Powells,30
Cascadia Field Guide at Powell’s City of Books,7pm,07/27/2023,https://www.powells.com/book/cascadia-field-guide-9781680516227/1-4,Powells,30
Kids’ Storytime at Powell’s City of Books,10:30am,07/29/2023,https://www.powells.com/book/how-to-talk-like-a-bear-9780593350669,Powells,30
Proust’s Remembrance of Things Past: Within a Budding Grove at Literary Arts,5:30pm - 7:30pm,07/30/2023,https://literary-arts.org/event/prousts-remembrance-of-things-past-within-a-budding-grove/,Literary Arts,30
Sara Dant in Conversation With Dan Flores at Powell’s City of Books,7pm,07/31/2023,https://www.powells.com/book/losing-eden-9781496229540/1-3,Powells,31
Mona Gable at Powell’s Books at Cedar Hills Crossing,7pm,07/31/2023,https://www.powells.com/book/searching-for-savanna-9781982153687/2-2,Powells,31
Lydia Kiesling in Conversation With Omar El Akkad at Powell’s City of Books,7pm,08/01/2023,https://www.powells.com/book/mobility-9781638930563/1-2,Powells,31
John W. Reid at Powell’s City of Books,7pm,08/02/2023,https://www.powells.com/book/ever-green-9781324050377/1-1,Powells,31
Philip Fracassi in Conversation With KC Jones at Powell’s Books at Cedar Hills Crossing,7pm,08/02/2023,https://www.powells.com/book/boys-in-the-valley-9781250879035/2-1,Powells,31
Reading: Alenka Vrecek: She Rides at Annie Bloom's Books,7:00pm - 8:00pm,08/03/2023,https://www.annieblooms.com/event/reading-alenka-vrecek-she-rides,Annie Bloom's Books,31
Six Month Screenwriting Intensive at Literary Arts (tuition required) (virtual),12:00pm - 2:00pm,08/04/2023,https://literary-arts.org/event/six-month-screenwriting-intensive-copy/,Literary Arts,31
August OPP at Mother Foucault's Bookshop,7:00PM - 7:40PM,08/04/2023,https://www.motherfoucaultsbookshop.com/calendar-list/august-opp,Mother Foucault's Bookshop,31
Kids' Storytime With Michelle Sumovich at Powell’s City of Books,10:30am,08/05/2023,https://www.powells.com/book/one-more-jar-of-jam-9780593112670/1-1,Powells,31
Literary Arts at Pickathon 2023 at Literary Arts,10:00am - 12:00pm,08/06/2023,https://literary-arts.org/event/pickathon-2023/,Literary Arts,31
Korean Translated Fiction: Mothers and Daughters at Literary Arts (virtual),5:00pm - 7:00pm,08/07/2023,https://literary-arts.org/event/korean-translated-fiction-mothers-and-daughters/,Literary Arts,32
Reading: James Byrne: Deadlock at Annie Bloom's Books,7:00pm - 8:00pm,08/07/2023,https://www.annieblooms.com/event/reading-james-byrne-deadlock,Annie Bloom's Books,32
Adam Rex in Conversation With Alysia Ascher at Powell’s Books at Cedar Hills Crossing,7pm,08/07/2023,https://www.powells.com/book/a-little-like-waking-9781250621917/2-1,Powells,32
Jacqueline Carey in Conversation With Brent Weeks at Powell’s Books at Cedar Hills Crossing,7pm,08/09/2023,https://www.powells.com/book/cassiels-servant-kushiels-legacy-4-9781250208330/2-1,Powells,32
Korean Science Fiction: Tower and I’m Waiting for You at Literary Arts (virtual),5:00pm - 7:00pm,08/10/2023,https://literary-arts.org/event/korean-science-fiction-tower-and-im-waiting-for-you/,Literary Arts,32
FADE IN: FOUNDATIONS FOR SCREENWRITING at Literary Arts (tuition required),6:00pm - 8:00pm,08/10/2023,https://literary-arts.org/event/fade-in-foundations-for-screenwriting/,Literary Arts,32
Reading: Dian Greenwood: About the Carleton Sisters at Annie Bloom's Books,7:00pm - 8:00pm,08/10/2023,https://www.annieblooms.com/event/reading-dian-greenwood-about-carleton-sisters,Annie Bloom's Books,32
1+1 show at Mother Foucault's Bookshop,7:00PM - 9:00PM,08/11/2023,https://www.motherfoucaultsbookshop.com/calendar-list/11-show,Mother Foucault's Bookshop,32
‘Driven toward endings’: A.S. Byatt’s Possession at Literary Arts,6:30pm - 8:30pm,08/14/2023,https://literary-arts.org/event/driven-toward-endings-a-s-byatts-possession/,Literary Arts,33
Reading: Anita Kelly and Alison Cochrun at Annie Bloom's Books,7:00pm - 8:00pm,08/14/2023,https://www.annieblooms.com/event/reading-anita-kelly-and-alison-cochrun,Annie Bloom's Books,33
Sarah Sanderson in Conversation With Zachary Stocks & Taylor Stewart at Powell’s City of Books,7pm,08/14/2023,https://www.powells.com/book/the-place-we-make-9780593444733/1-1,Powells,33
Anastacia-Reneé in Conversation With Jamila Osman at Powell’s City of Books,7pm,08/15/2023,https://www.powells.com/book/side-notes-from-the-archivist-9780063221710/1-2,Powells,33
